=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,o,char,0.000,0.000,0,o
1,f,char,84.000,84.000,0,of
2,e,char,218.000,134.000,0,ofe
3,Backspace,backspace,966.000,748.000,0,ofe
4,t,char,1222.000,256.000,0,oft
5,e,char,1419.000,197.000,0,ofte
6,n,char,1591.000,172.000,0,often
7,SPACE,char,1802.000,211.000,0,often
8,n,char,2686.000,884.000,1,n
9,e,char,2846.000,160.000,1,ne
10,v,char,3014.000,168.000,1,nev
11,e,char,3144.000,130.000,1,neve
12,r,char,3322.000,178.000,1,never
13,SPACE,char,3423.000,101.000,1,never
14,w,char,3736.000,313.000,2,w
15,a,char,3952.000,216.000,2,wa
16,n,char,4082.000,130.000,2,wan
17,t,char,4192.000,110.000,2,want
18,SPACE,char,4298.000,106.000,2,want
19,d,char,4610.000,312.000,3,d
20,r,char,4880.000,270.000,3,dr
21,a,char,5095.000,215.000,3,dra
22,w,char,5262.000,167.000,3,draw
23,SPACE,char,5397.000,135.000,3,draw
24,l,char,5874.000,477.000,4,l
25,e,char,5987.000,113.000,4,le
26,f,char,6134.000,147.000,4,lef
27,t,char,6326.000,192.000,4,left
28,SPACE,char,6454.000,128.000,4,left
29,n,char,6684.000,230.000,5,n
30,o,char,6925.000,241.000,5,no
31,t,char,7069.000,144.000,5,not
32,SPACE,char,7220.000,151.000,5,not
33,l,char,7668.000,448.000,6,l
34,i,char,7872.000,204.000,6,li
35,f,char,7923.000,51.000,6,lif
36,e,char,8042.000,119.000,6,life
37,SPACE,char,8168.000,126.000,6,life
38,b,char,8641.000,473.000,7,b
39,y,char,8829.000,188.000,7,by
40,SPACE,char,8946.000,117.000,7,by
41,t,char,9314.000,368.000,8,t
42,h,char,9423.000,109.000,8,th
43,e,char,9820.000,397.000,8,the
44,r,char,10020.000,200.000,8,ther
45,e,char,10190.000,170.000,8,there
46,SPACE,char,10312.000,122.000,8,there
47,g,char,10837.000,525.000,9,g
48,o,char,10974.000,137.000,9,go
49,o,char,11121.000,147.000,9,goo
50,d,char,11217.000,96.000,9,good
51,SPACE,char,11310.000,93.000,9,good
52,s,char,11474.000,164.000,10,s
53,o,char,11541.000,67.000,10,so
54,m,char,11742.000,201.000,10,som
55,e,char,11848.000,106.000,10,some
56,SPACE,char,11969.000,121.000,10,some
57,o,char,12094.000,125.000,11,o
58,u,char,12367.000,273.000,11,ou
59,t,char,12490.000,123.000,11,out
60,Backspace,backspace,12870.000,380.000,11,out
61,r,char,13282.000,412.000,11,our
62,SPACE,char,13444.000,162.000,11,our
63,p,char,14156.000,712.000,12,p
64,o,char,14334.000,178.000,12,po
65,i,char,14520.000,186.000,12,poi
66,n,char,14712.000,192.000,12,poin
67,t,char,14818.000,106.000,12,point
68,SPACE,char,14940.000,122.000,12,point
69,o,char,15486.000,546.000,13,o
70,n,char,15701.000,215.000,13,on
71,l,char,15896.000,195.000,13,onl
72,y,char,15973.000,77.000,13,only
73,SPACE,char,16108.000,135.000,13,only
74,h,char,16828.000,720.000,14,h
75,o,char,17163.000,335.000,14,ho
76,u,char,17374.000,211.000,14,hou
77,s,char,17449.000,75.000,14,hous
78,e,char,17621.000,172.000,14,house
79,SPACE,char,17773.000,152.000,14,house
80,w,char,18550.000,777.000,15,w
81,o,char,18647.000,97.000,15,wo
82,u,char,18848.000,201.000,15,wou
83,l,char,19042.000,194.000,15,woul
84,f,char,19104.000,62.000,15,woulf
85,SPACE,char,19244.000,140.000,15,woulf
86,c,char,20270.000,1026.000,16,c
87,i,char,20394.000,124.000,16,ci
88,t,char,20569.000,175.000,16,cit
89,y,char,20648.000,79.000,16,city
90,SPACE,char,20845.000,197.000,16,city
91,o,char,21626.000,781.000,17,o
92,n,char,21863.000,237.000,17,on
93,e,char,21946.000,83.000,17,one
94,SPACE,char,22044.000,98.000,17,one
95,s,char,22211.000,167.000,18,s
96,e,char,22430.000,219.000,18,se
97,e,char,22591.000,161.000,18,see
98,SPACE,char,22745.000,154.000,18,see
99,n,char,22918.000,173.000,19,n
100,o,char,23127.000,209.000,19,no
101,w,char,23235.000,108.000,19,now
102,SPACE,char,23363.000,128.000,19,now
103,l,char,23619.000,256.000,20,l
104,i,char,23830.000,211.000,20,li
105,k,char,23996.000,166.000,20,lik
106,e,char,24072.000,76.000,20,like
107,SPACE,char,24190.000,118.000,20,like
108,f,char,24492.000,302.000,21,f
109,a,char,24757.000,265.000,21,fa
110,c,char,25735.000,978.000,21,fac
111,e,char,25965.000,230.000,21,face
112,SPACE,char,26559.000,594.000,21,face
113,f,char,27449.000,890.000,22,f
114,a,char,27613.000,164.000,22,fa
115,c,char,27831.000,218.000,22,fac
116,e,char,27975.000,144.000,22,face
117,SPACE,char,28115.000,140.000,22,face
118,w,char,28544.000,429.000,23,w
119,a,char,28778.000,234.000,23,wa
120,y,char,28889.000,111.000,23,way
121,SPACE,char,29045.000,156.000,23,way
122,d,char,29575.000,530.000,24,d
123,r,char,29809.000,234.000,24,dr
124,e,char,30033.000,224.000,24,dre
125,a,char,30247.000,214.000,24,drea
126,m,char,30409.000,162.000,24,dream
127,SPACE,char,30782.000,373.000,24,dream
128,g,char,31347.000,565.000,25,g
129,o,char,31475.000,128.000,25,go
130,o,char,31643.000,168.000,25,goo
131,d,char,31807.000,164.000,25,good
132,SPACE,char,32236.000,429.000,25,good
133,l,char,32685.000,449.000,26,l
134,a,char,32817.000,132.000,26,la
135,r,char,33023.000,206.000,26,lar
136,g,char,33172.000,149.000,26,larg
137,e,char,33257.000,85.000,26,large
138,SPACE,char,33361.000,104.000,26,large
139,c,char,33881.000,520.000,27,c
140,r,char,34073.000,192.000,27,cr
141,o,char,34193.000,120.000,27,cro
142,s,char,34335.000,142.000,27,cros
143,s,char,34523.000,188.000,27,cross
144,SPACE,char,34638.000,115.000,27,cross
145,t,char,35061.000,423.000,28,t
146,w,char,35253.000,192.000,28,tw
147,o,char,35359.000,106.000,28,two
148,SPACE,char,35549.000,190.000,28,two
149,c,char,36196.000,647.000,29,c
150,o,char,36406.000,210.000,29,co
151,l,char,36574.000,168.000,29,col
152,o,char,36735.000,161.000,29,colo
153,r,char,36812.000,77.000,29,color
154,SPACE,char,36919.000,107.000,29,color
155,b,char,38223.000,1304.000,30,b
156,r,char,38327.000,104.000,30,br
157,o,char,38531.000,204.000,30,bro
158,w,char,38706.000,175.000,30,brow
159,n,char,38864.000,158.000,30,brown
160,SPACE,char,39068.000,204.000,30,brown
161,u,char,39589.000,521.000,31,u
162,SPACE,char,39772.000,183.000,31,u
163,s,char,39782.000,10.000,32,s
164,SPACE,char,39877.000,95.000,32,s
165,a,char,40861.000,984.000,33,a
166,s,char,41024.000,163.000,33,as
167,SPACE,char,41196.000,172.000,33,as
168,l,char,41784.000,588.000,34,l
169,o,char,41957.000,173.000,34,lo
170,n,char,42159.000,202.000,34,lon
171,g,char,42240.000,81.000,34,long
172,SPACE,char,42357.000,117.000,34,long
173,u,char,42770.000,413.000,35,u
174,n,char,42960.000,190.000,35,un
175,d,char,43038.000,78.000,35,und
176,e,char,43186.000,148.000,35,unde
177,r,char,43375.000,189.000,35,under
178,SPACE,char,43478.000,103.000,35,under
179,l,char,43695.000,217.000,36,l
180,i,char,43880.000,185.000,36,li
181,k,char,44044.000,164.000,36,lik
182,e,char,44129.000,85.000,36,like
183,SPACE,char,44230.000,101.000,36,like
184,o,char,44378.000,148.000,37,o
185,n,char,44587.000,209.000,37,on
186,SPACE,char,44758.000,171.000,37,on
187,b,char,44948.000,190.000,38,b
188,e,char,45099.000,151.000,38,be
189,l,char,45260.000,161.000,38,bel
190,o,char,45432.000,172.000,38,belo
191,w,char,45560.000,128.000,38,below
192,SPACE,char,45699.000,139.000,38,below
193,e,char,46040.000,341.000,39,e
194,b,char,46272.000,232.000,39,eb
195,e,char,46774.000,502.000,39,ebe
196,n,char,46897.000,123.000,39,eben
197,SPACE,char,47038.000,141.000,39,eben
198,h,char,47533.000,495.000,40,h
199,e,char,47659.000,126.000,40,he
200,SPACE,char,47750.000,91.000,40,he
201,w,char,47998.000,248.000,41,w
202,a,char,48210.000,212.000,41,wa
203,t,char,48387.000,177.000,41,wat
204,y,char,48415.000,28.000,41,waty
205,e,char,48544.000,129.000,41,watye
206,r,char,48746.000,202.000,41,watyer
207,Backspace,backspace,49381.000,635.000,41,watyer
208,SPACE,char,49927.000,546.000,41,watye
209,h,char,50937.000,1010.000,42,h
210,e,char,51037.000,100.000,42,he
211,r,char,51215.000,178.000,42,her
212,SPACE,char,51313.000,98.000,42,her
213,w,char,51972.000,659.000,43,w
214,h,char,52113.000,141.000,43,wh
215,i,char,52302.000,189.000,43,whi
216,l,char,52484.000,182.000,43,whil
217,e,char,52598.000,114.000,43,while
218,SPACE,char,52696.000,98.000,43,while
219,y,char,53148.000,452.000,44,y
220,e,char,53238.000,90.000,44,ye
221,a,char,53435.000,197.000,44,yea
222,r,char,53689.000,254.000,44,year
223,SPACE,char,53802.000,113.000,44,year
224,w,char,54204.000,402.000,45,w
225,o,char,54322.000,118.000,45,wo
226,r,char,54476.000,154.000,45,wor
227,l,char,54595.000,119.000,45,worl
228,d,char,54684.000,89.000,45,world
229,SPACE,char,54806.000,122.000,45,world
230,e,char,55684.000,878.000,46,e
231,w,char,55688.000,4.000,46,ew
232,h,char,55834.000,146.000,46,ewh
233,Backspace,backspace,56270.000,436.000,46,ewh
234,Backspace,backspace,56442.000,172.000,46,ew
235,Backspace,backspace,56596.000,154.000,46,e
236,Backspace,backspace,56770.000,174.000,46,
