=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,w,char,0.000,0.000,0,w
1,l,char,371.600,371.600,0,wl
2,a,char,855.500,483.900,0,wla
3,k,char,1122.500,267.000,0,wlak
4,Backspace,backspace,1947.100,824.600,0,wlak
5,Backspace,backspace,2117.700,170.600,0,wla
6,Backspace,backspace,2439.900,322.200,0,wl
7,a,char,3029.000,589.100,0,wa
8,l,char,4376.700,1347.700,0,wal
9,k,char,4588.700,212.000,0,walk
10,SPACE,char,5184.200,595.500,0,walk
11,o,char,5680.400,496.200,1,o
12,u,char,5887.600,207.200,1,ou
13,r,char,6288.300,400.700,1,our
14,SPACE,char,6575.600,287.300,1,our
15,w,char,7347.700,772.100,2,w
16,h,char,7564.700,217.000,2,wh
17,i,char,7736.500,171.800,2,whi
18,l,char,7938.500,202.000,2,whil
19,e,char,8116.200,177.700,2,while
20,SPACE,char,8366.200,250.000,2,while
21,o,char,8938.000,571.800,3,o
22,v,char,9495.300,557.300,3,ov
23,e,char,9715.400,220.100,3,ove
24,r,char,9887.300,171.900,3,over
25,SPACE,char,10088.800,201.500,3,over
26,t,char,10830.800,742.000,4,t
27,w,char,11038.300,207.500,4,tw
28,p,char,11296.400,258.100,4,twp
29,Backspace,backspace,12227.900,931.500,4,twp
30,i,char,12535.700,307.800,4,twi
31,Backspace,backspace,13159.300,623.600,4,twi
32,o,char,13399.000,239.700,4,two
33,SPACE,char,13973.500,574.500,4,two
34,d,char,14432.900,459.400,5,d
35,a,char,14548.000,115.100,5,da
36,y,char,17159.200,2611.200,5,day
37,SPACE,char,17778.900,619.700,5,day
38,m,char,18558.000,779.100,6,m
39,u,char,18755.600,197.600,6,mu
40,c,char,19016.800,261.200,6,muc
41,h,char,19231.300,214.500,6,much
42,SPACE,char,19498.500,267.200,6,much
43,g,char,20367.400,868.900,7,g
44,r,char,20606.500,239.100,7,gr
45,o,char,20856.300,249.800,7,gro
46,e,char,21054.200,197.900,7,groe
47,Backspace,backspace,21800.500,746.300,7,groe
48,w,char,22111.300,310.800,7,grow
49,SPACE,char,22383.500,272.200,7,grow
50,t,char,23005.700,622.200,8,t
51,h,char,23202.900,197.200,8,th
52,a,char,23332.500,129.600,8,tha
53,n,char,23958.100,625.600,8,than
54,SPACE,char,24164.300,206.200,8,than
55,g,char,25068.000,903.700,9,g
56,o,char,25468.800,400.800,9,go
57,SPACE,char,25732.000,263.200,9,go
58,l,char,26370.200,638.200,10,l
59,e,char,27076.100,705.900,10,le
60,f,char,27346.200,270.100,10,lef
61,t,char,27514.200,168.000,10,left
62,SPACE,char,27782.200,268.000,10,left
63,q,char,29180.000,1397.800,11,q
64,w,char,29584.200,404.200,11,qw
65,i,char,29882.000,297.800,11,qwi
66,Backspace,backspace,30612.500,730.500,11,qwi
67,Backspace,backspace,30780.400,167.900,11,qw
68,Backspace,backspace,30942.200,161.800,11,q
69,w,char,31592.400,650.200,11,w
70,i,char,31888.500,296.100,11,wi
71,t,char,32166.600,278.100,11,wit
72,h,char,32356.700,190.100,11,with
73,SPACE,char,32624.500,267.800,11,with
74,s,char,33406.700,782.200,12,s
75,o,char,33857.400,450.700,12,so
76,u,char,34068.500,211.100,12,sou
77,t,char,34345.300,276.800,12,sout
78,h,char,34546.700,201.400,12,south
79,SPACE,char,34851.500,304.800,12,south
80,n,char,35534.800,683.300,13,n
81,e,char,35758.700,223.900,13,ne
82,e,char,35902.900,144.200,13,nee
83,d,char,36074.900,172.000,13,need
84,SPACE,char,36340.800,265.900,13,need
85,t,char,37122.800,782.000,14,t
86,h,char,37320.800,198.000,14,th
87,s,char,37615.100,294.300,14,ths
88,e,char,37824.500,209.400,14,thse
89,s,char,38456.800,632.300,14,thses
90,SPACE,char,39553.600,1096.800,14,thses
91,w,char,40703.200,1149.600,15,w
92,o,char,40965.100,261.900,15,wo
93,u,char,41175.000,209.900,15,wou
94,l,char,41394.900,219.900,15,woul
95,d,char,41584.300,189.400,15,would
96,SPACE,char,41815.100,230.800,15,would
97,o,char,42523.100,708.000,16,o
98,r,char,42801.200,278.100,16,or
99,SPACE,char,43060.900,259.700,16,or
100,y,char,43773.100,712.200,17,y
101,o,char,44032.800,259.700,17,yo
102,u,char,44283.500,250.700,17,you
103,SPACE,char,45344.200,1060.700,17,you
104,j,char,45691.100,346.900,18,j
105,u,char,45861.500,170.400,18,ju
106,s,char,46006.200,144.700,18,jus
107,t,char,46751.500,745.300,18,just
108,SPACE,char,47091.500,340.000,18,just
109,t,char,47519.500,428.000,19,t
110,h,char,47685.800,166.300,19,th
111,a,char,47803.500,117.700,19,tha
112,t,char,47973.600,170.100,19,that
113,SPACE,char,48366.200,392.600,19,that
114,w,char,48767.500,401.300,20,w
115,a,char,48987.600,220.100,20,wa
116,l,char,49308.100,320.500,20,wal
117,k,char,49636.100,328.000,20,walk
118,SPACE,char,50065.800,429.700,20,walk
119,e,char,50589.600,523.800,21,e
120,a,char,50827.600,238.000,21,ea
121,r,char,51073.600,246.000,21,ear
122,t,char,51299.600,226.000,21,eart
123,h,char,51491.400,191.800,21,earth
124,SPACE,char,52098.000,606.600,21,earth
125,g,char,52465.800,367.800,22,g
126,o,char,52735.600,269.800,22,go
127,SPACE,char,52982.600,247.000,22,go
128,e,char,54185.800,1203.200,23,e
129,c,char,54399.500,213.700,23,ec
130,Backspace,backspace,55027.300,627.800,23,ec
131,e,char,55547.200,519.900,23,ee
132,v,char,55795.400,248.200,23,eev
133,e,char,56009.200,213.800,23,eeve
134,SPACE,char,56707.700,698.500,23,eeve
135,c,char,58066.500,1358.800,24,c
136,l,char,58293.500,227.000,24,cl
137,o,char,58471.700,178.200,24,clo
138,u,char,58723.700,252.000,24,clou
139,d,char,59277.500,553.800,24,cloud
140,SPACE,char,59863.400,585.900,24,cloud

=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,w,char,0.000,0.000,,0.000
1,l,char,371.600,371.600,,371.600
2,a,char,855.500,855.500,,483.900
3,k,char,1122.500,1122.500,,267.000
4,Backspace,backspace,1947.100,,1947.100,824.600
5,Backspace,backspace,2117.700,,2117.700,170.600
6,Backspace,backspace,2439.900,,2439.900,322.200
7,a,char,3029.000,3029.000,,589.100
8,l,char,4376.700,4376.700,,1347.700
9,k,char,4588.700,4588.700,,212.000
10,SPACE,char,5184.200,5184.200,,595.500
11,o,char,5680.400,5680.400,,496.200
