=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,w,char,0.000,0.000,0,w
1,h,char,134.000,134.000,0,wh
2,e,char,386.000,252.000,0,whe
3,m,char,528.000,142.000,0,whem
4,Backspace,backspace,1100.000,572.000,0,whem
5,n,char,1769.000,669.000,0,when
6,SPACE,char,1922.000,153.000,0,when
7,g,char,2551.000,629.000,1,g
8,o,char,2777.000,226.000,1,go
9,o,char,2901.000,124.000,1,goo
10,o,char,3210.000,309.000,1,gooo
11,d,char,3460.000,250.000,1,goood
12,SPACE,char,3621.000,161.000,1,goood
13,h,char,4526.000,905.000,2,h
14,e,char,4651.000,125.000,2,he
15,r,char,4813.000,162.000,2,her
16,SPACE,char,5009.000,196.000,2,her
17,c,char,5732.000,723.000,3,c
18,a,char,5961.000,229.000,3,ca
19,r,char,6255.000,294.000,3,car
20,r,char,6471.000,216.000,3,carr
21,y,char,6753.000,282.000,3,carry
22,SPACE,char,7066.000,313.000,3,carry
23,b,char,7735.000,669.000,4,b
24,e,char,7885.000,150.000,4,be
25,c,char,8284.000,399.000,4,bec
26,a,char,8557.000,273.000,4,beca
27,u,char,8855.000,298.000,4,becau
28,s,char,9508.000,653.000,4,becaus
29,e,char,9944.000,436.000,4,because
30,SPACE,char,10128.000,184.000,4,because
31,p,char,10852.000,724.000,5,p
32,u,char,12526.000,1674.000,5,pu
33,r,char,13187.000,661.000,5,pur
34,SPACE,char,13592.000,405.000,5,pur
35,s,char,14283.000,691.000,6,s
36,h,char,14403.000,120.000,6,sh
37,e,char,14588.000,185.000,6,she
38,SPACE,char,14746.000,158.000,6,she
39,o,char,16122.000,1376.000,7,o
40,h,char,16588.000,466.000,7,oh
41,Backspace,backspace,18215.000,1627.000,7,oh
42,t,char,18578.000,363.000,7,ot
43,h,char,18711.000,133.000,7,oth
44,e,char,18945.000,234.000,7,othe
45,r,char,19079.000,134.000,7,other
46,SPACE,char,19194.000,115.000,7,other
47,p,char,20004.000,810.000,8,p
48,a,char,20178.000,174.000,8,pa
49,g,char,20437.000,259.000,8,pag
50,e,char,20634.000,197.000,8,page
51,SPACE,char,20856.000,222.000,8,page
52,e,char,21947.000,1091.000,9,e
53,v,char,22262.000,315.000,9,ev
54,e,char,22746.000,484.000,9,eve
55,r,char,23163.000,417.000,9,ever
56,y,char,23343.000,180.000,9,every
57,SPACE,char,23633.000,290.000,9,every
58,s,char,24260.000,627.000,10,s
59,l,char,24463.000,203.000,10,sl
60,e,char,24692.000,229.000,10,sle
61,e,char,24860.000,168.000,10,slee
62,p,char,24993.000,133.000,10,sleep
63,SPACE,char,25156.000,163.000,10,sleep
64,t,char,25890.000,734.000,11,t
65,o,char,26073.000,183.000,11,to
66,g,char,26556.000,483.000,11,tog
67,e,char,26791.000,235.000,11,toge
68,t,char,27162.000,371.000,11,toget
69,h,char,27410.000,248.000,11,togeth
70,e,char,27567.000,157.000,11,togethe
71,r,char,27747.000,180.000,11,together
72,SPACE,char,28040.000,293.000,11,together
73,l,char,28549.000,509.000,12,l
74,o,char,28774.000,225.000,12,lo
75,n,char,29436.000,662.000,12,lon
76,g,char,29875.000,439.000,12,long
77,SPACE,char,30058.000,183.000,12,long
78,n,char,31622.000,1564.000,13,n
79,o,char,32107.000,485.000,13,no
80,r,char,33078.000,971.000,13,nor
81,r,char,33215.000,137.000,13,norr
82,Backspace,backspace,33894.000,679.000,13,norr
83,t,char,34284.000,390.000,13,nort
84,h,char,34523.000,239.000,13,north
85,SPACE,char,34742.000,219.000,13,north
86,c,char,35521.000,779.000,14,c
87,a,char,35748.000,227.000,14,ca
88,r,char,36069.000,321.000,14,car
89,r,char,36239.000,170.000,14,carr
90,y,char,36433.000,194.000,14,carry
91,SPACE,char,36627.000,194.000,14,carry
92,s,char,37794.000,1167.000,15,s
93,h,char,37999.000,205.000,15,sh
94,o,char,38372.000,373.000,15,sho
95,u,char,38612.000,240.000,15,shou
96,l,char,38838.000,226.000,15,shoul
97,d,char,39183.000,345.000,15,should
98,SPACE,char,39334.000,151.000,15,should
99,o,char,40050.000,716.000,16,o
100,f,char,40222.000,172.000,16,of
101,SPACE,char,40379.000,157.000,16,of
102,g,char,41312.000,933.000,17,g
103,o,char,41403.000,91.000,17,go
104,SPACE,char,41550.000,147.000,17,go
105,l,char,42212.000,662.000,18,l
106,a,char,42367.000,155.000,18,la
107,s,char,42630.000,263.000,18,las
108,t,char,42826.000,196.000,18,last
109,SPACE,char,43031.000,205.000,18,last
110,a,char,43658.000,627.000,19,a
111,l,char,43830.000,172.000,19,al
112,w,char,45851.000,2021.000,19,alw
113,a,char,46040.000,189.000,19,alwa
114,y,char,46310.000,270.000,19,alway
115,s,char,46520.000,210.000,19,always
116,SPACE,char,46795.000,275.000,19,always
117,w,char,48244.000,1449.000,20,w
118,h,char,48428.000,184.000,20,wh
119,e,char,48652.000,224.000,20,whe
120,n,char,48862.000,210.000,20,when
121,SPACE,char,49061.000,199.000,20,when
122,o,char,49934.000,873.000,21,o
123,n,char,50171.000,237.000,21,on
124,e,char,50324.000,153.000,21,one
125,SPACE,char,50468.000,144.000,21,one
