=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,g,char,0.000,0.000,0,g
1,i,char,262.000,262.000,0,gi
2,v,char,859.000,597.000,0,giv
3,e,char,1036.000,177.000,0,give
4,SPACE,char,1285.000,249.000,0,give
5,w,char,2615.000,1330.000,1,w
6,h,char,2834.000,219.000,1,wh
7,a,char,3016.000,182.000,1,wha
8,t,char,3771.000,755.000,1,what
9,SPACE,char,5566.000,1795.000,1,what
10,m,char,5748.000,182.000,2,m
11,y,char,6181.000,433.000,2,my
12,SPACE,char,6516.000,335.000,2,my
13,t,char,7499.000,983.000,3,t
14,h,char,8021.000,522.000,3,th
15,a,char,8172.000,151.000,3,tha
16,n,char,8477.000,305.000,3,than
17,SPACE,char,8694.000,217.000,3,than
18,s,char,9684.000,990.000,4,s
19,l,char,10073.000,389.000,4,sl
20,e,char,10771.000,698.000,4,sle
21,e,char,10917.000,146.000,4,slee
22,p,char,11155.000,238.000,4,sleep
23,SPACE,char,11523.000,368.000,4,sleep
24,l,char,12915.000,1392.000,5,l
25,a,char,13058.000,143.000,5,la
26,n,char,13317.000,259.000,5,lan
27,d,char,13634.000,317.000,5,land
28,SPACE,char,13828.000,194.000,5,land
29,a,char,14994.000,1166.000,6,a
30,n,char,15218.000,224.000,6,an
31,SPACE,char,15448.000,230.000,6,an
32,n,char,17398.000,1950.000,7,n
33,o,char,17681.000,283.000,7,no
34,SPACE,char,17938.000,257.000,7,no
35,h,char,18316.000,378.000,8,h
36,i,char,18644.000,328.000,8,hi
37,g,char,19056.000,412.000,8,hig
38,h,char,19262.000,206.000,8,high
39,t,char,19569.000,307.000,8,hight
40,SPACE,char,19763.000,194.000,8,hight
41,a,char,21016.000,1253.000,9,a
42,b,char,21296.000,280.000,9,ab
43,o,char,21849.000,553.000,9,abo
44,u,char,22440.000,591.000,9,abou
45,t,char,22781.000,341.000,9,about
46,SPACE,char,22970.000,189.000,9,about
47,n,char,24653.000,1683.000,10,n
48,o,char,24893.000,240.000,10,no
49,r,char,25358.000,465.000,10,nor
50,t,char,25564.000,206.000,10,nort
51,h,char,26012.000,448.000,10,north
52,SPACE,char,26879.000,867.000,10,north
53,o,char,27392.000,513.000,11,o
54,n,char,27700.000,308.000,11,on
55,l,char,27977.000,277.000,11,onl
56,y,char,28446.000,469.000,11,only
57,SPACE,char,28759.000,313.000,11,only
58,w,char,29924.000,1165.000,12,w
59,a,char,30108.000,184.000,12,wa
60,n,char,31010.000,902.000,12,wan
61,t,char,31402.000,392.000,12,want
62,SPACE,char,31626.000,224.000,12,want
63,a,char,32642.000,1016.000,13,a
64,s,char,32868.000,226.000,13,as
65,k,char,33171.000,303.000,13,ask
66,e,char,33640.000,469.000,13,aske
67,d,char,33904.000,264.000,13,asked
68,SPACE,char,34131.000,227.000,13,asked
69,w,char,35401.000,1270.000,14,w
70,e,char,35688.000,287.000,14,we
71,l,char,36096.000,408.000,14,wel
72,l,char,36269.000,173.000,14,well
73,SPACE,char,36687.000,418.000,14,well
74,a,char,37231.000,544.000,15,a
75,b,char,37652.000,421.000,15,ab
76,o,char,37908.000,256.000,15,abo
77,u,char,38249.000,341.000,15,abou
78,t,char,38596.000,347.000,15,about
79,SPACE,char,39204.000,608.000,15,about
80,b,char,40231.000,1027.000,16,b
81,e,char,40429.000,198.000,16,be
82,SPACE,char,40648.000,219.000,16,be
83,h,char,42254.000,1606.000,17,h
84,e,char,42512.000,258.000,17,he
85,r,char,42703.000,191.000,17,her
86,SPACE,char,42973.000,270.000,17,her
87,s,char,43254.000,281.000,18,s
88,e,char,43906.000,652.000,18,se
89,e,char,44447.000,541.000,18,see
90,SPACE,char,44721.000,274.000,18,see
91,r,char,45728.000,1007.000,19,r
92,u,char,46452.000,724.000,19,ru
93,n,char,46794.000,342.000,19,run
94,SPACE,char,46992.000,198.000,19,run
95,n,char,48381.000,1389.000,20,n
96,w,char,48570.000,189.000,20,nw
97,Backspace,backspace,49245.000,675.000,20,nw
98,e,char,49498.000,253.000,20,ne
99,w,char,49724.000,226.000,20,new
100,SPACE,char,49874.000,150.000,20,new
101,w,char,51219.000,1345.000,21,w
102,a,char,51511.000,292.000,21,wa
103,t,char,51738.000,227.000,21,wat
104,e,char,51950.000,212.000,21,wate
105,r,char,52162.000,212.000,21,water
106,SPACE,char,52476.000,314.000,21,water
107,a,char,53147.000,671.000,22,a
108,n,char,53347.000,200.000,22,an
109,SPACE,char,53567.000,220.000,22,an
110,l,char,54921.000,1354.000,23,l
111,e,char,55215.000,294.000,23,le
112,f,char,55634.000,419.000,23,lef
113,t,char,55819.000,185.000,23,left
114,SPACE,char,56149.000,330.000,23,left
115,f,char,57934.000,1785.000,24,f
116,e,char,58138.000,204.000,24,fe
117,w,char,58573.000,435.000,24,few
118,SPACE,char,58802.000,229.000,24,few

=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,g,char,0.000,0.000,,0.000
1,i,char,262.000,262.000,,262.000
2,v,char,859.000,859.000,,597.000
3,e,char,1036.000,1036.000,,177.000
4,SPACE,char,1285.000,1285.000,,249.000
5,w,char,2615.000,2615.000,,1330.000
6,h,char,2834.000,2834.000,,219.000
7,a,char,3016.000,3016.000,,182.000
8,t,char,3771.000,3771.000,,755.000
9,SPACE,char,5566.000,5566.000,,1795.000
10,m,char,5748.000,5748.000,,182.000
11,y,char,6181.000,6181.000,,433.000
12,SPACE,char,6516.000,6516.000,,335.000
13,t,char,7499.000,7499.000,,983.000
14,h,char,8021.000,8021.000,,522.000
15,a,char,8172.000,8172.000,,151.000
16,n,char,8477.000,8477.000,,305.000
17,SPACE,char,8694.000,8694.000,,217.000
18,s,char,9684.000,9684.000,,990.000
19,l,char,10073.000,10073.000,,389.000
20,e,char,10771.000,10771.000,,698.000
21,e,char,10917.000,10917.000,,146.000
22,p,char,11155.000,11155.000,,238.000
23,SPACE,char,11523.000,11523.000,,368.000
24,l,char,12915.000,12915.000,,1392.000
25,a,char,13058.000,13058.000,,143.000
26,n,char,13317.000,13317.000,,259.000
27,d,char,13634.000,13634.000,,317.000
28,SPACE,char,13828.000,13828.000,,194.000
29,a,char,14994.000,14994.000,,1166.000
30,n,char,15218.000,15218.000,,224.000
31,SPACE,char,15448.000,15448.000,,230.000
32,n,char,17398.000,17398.000,,1950.000
33,o,char,17681.000,17681.000,,283.000
34,SPACE,char,17938.000,17938.000,,257.000
35,h,char,18316.000,18316.000,,378.000
