=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,s,char,0.000,0.000,0,s
1,o,char,163.000,163.000,0,so
2,SPACE,char,478.000,315.000,0,so
3,p,char,1386.000,908.000,1,p
4,l,char,1615.000,229.000,1,pl
5,a,char,1905.000,290.000,1,pla
6,n,char,2227.000,322.000,1,plan
7,t,char,2676.000,449.000,1,plant
8,SPACE,char,3083.000,407.000,1,plant
9,k,char,4146.000,1063.000,2,k
10,n,char,4383.000,237.000,2,kn
11,o,char,4652.000,269.000,2,kno
12,w,char,5068.000,416.000,2,know
13,SPACE,char,5363.000,295.000,2,know
14,g,char,6470.000,1107.000,3,g
15,r,char,6795.000,325.000,3,gr
16,o,char,7183.000,388.000,3,gro
17,w,char,7539.000,356.000,3,grow
18,SPACE,char,7776.000,237.000,3,grow
19,o,char,9554.000,1778.000,4,o
20,r,char,9979.000,425.000,4,or
21,SPACE,char,10237.000,258.000,4,or
22,l,char,11391.000,1154.000,5,l
23,e,char,11828.000,437.000,5,le
24,a,char,12059.000,231.000,5,lea
25,r,char,12251.000,192.000,5,lear
26,n,char,12809.000,558.000,5,learn
27,SPACE,char,13056.000,247.000,5,learn
28,f,char,14810.000,1754.000,6,f
29,o,char,15427.000,617.000,6,fo
30,r,char,15797.000,370.000,6,for
31,SPACE,char,16128.000,331.000,6,for
32,t,char,17211.000,1083.000,7,t
33,i,char,17603.000,392.000,7,ti
34,m,char,17943.000,340.000,7,tim
35,e,char,18341.000,398.000,7,time
36,SPACE,char,18581.000,240.000,7,time
37,d,char,19701.000,1120.000,8,d
38,o,char,19977.000,276.000,8,do
39,SPACE,char,20325.000,348.000,8,do
40,d,char,21441.000,1116.000,9,d
41,a,char,21646.000,205.000,9,da
42,y,char,21937.000,291.000,9,day
43,SPACE,char,22289.000,352.000,9,day
44,j,char,23211.000,922.000,10,j
45,u,char,23457.000,246.000,10,ju
46,s,char,23743.000,286.000,10,jus
47,t,char,24038.000,295.000,10,just
48,SPACE,char,24293.000,255.000,10,just
49,n,char,25494.000,1201.000,11,n
50,e,char,25756.000,262.000,11,ne
51,w,char,26275.000,519.000,11,new
52,SPACE,char,26504.000,229.000,11,new
53,w,char,27689.000,1185.000,12,w
54,h,char,28059.000,370.000,12,wh
55,o,char,28463.000,404.000,12,who
56,SPACE,char,28759.000,296.000,12,who
57,o,char,29975.000,1216.000,13,o
58,u,char,30518.000,543.000,13,ou
59,r,char,31044.000,526.000,13,our
60,SPACE,char,31289.000,245.000,13,our
61,c,char,32529.000,1240.000,14,c
62,a,char,32761.000,232.000,14,ca
63,n,char,33057.000,296.000,14,can
64,SPACE,char,33323.000,266.000,14,can
65,j,char,34527.000,1204.000,15,j
66,u,char,34754.000,227.000,15,ju
67,s,char,35005.000,251.000,15,jus
68,t,char,35320.000,315.000,15,just
69,SPACE,char,35603.000,283.000,15,just
70,h,char,36608.000,1005.000,16,h
71,a,char,36902.000,294.000,16,ha
72,n,char,37155.000,253.000,16,han
73,d,char,37728.000,573.000,16,hand
74,SPACE,char,37951.000,223.000,16,hand
75,m,char,39130.000,1179.000,17,m
76,o,char,39392.000,262.000,17,mo
77,s,char,39683.000,291.000,17,mos
78,t,char,40100.000,417.000,17,most
79,SPACE,char,40402.000,302.000,17,most
80,j,char,41690.000,1288.000,18,j
81,u,char,41945.000,255.000,18,ju
82,m,char,42381.000,436.000,18,jum
83,p,char,43120.000,739.000,18,jump
84,SPACE,char,43461.000,341.000,18,jump
85,a,char,44737.000,1276.000,19,a
86,s,char,44969.000,232.000,19,as
87,k,char,45326.000,357.000,19,ask
88,e,char,45702.000,376.000,19,aske
89,d,char,45936.000,234.000,19,asked
90,SPACE,char,46206.000,270.000,19,asked
