=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,o,char,0.000,0.000,0,o
1,c,char,344.600,344.600,0,oc
2,e,char,602.100,257.500,0,oce
3,a,char,1172.400,570.300,0,ocea
4,n,char,1414.400,242.000,0,ocean
5,SPACE,char,1668.300,253.900,0,ocean
6,a,char,2444.400,776.100,1,a
7,l,char,2706.300,261.900,1,al
8,l,char,2874.600,168.300,1,all
9,SPACE,char,2943.500,68.900,1,all
10,d,char,3768.000,824.500,2,d
11,o,char,4182.600,414.600,2,do
12,g,char,4695.400,512.800,2,dog
13,SPACE,char,4886.500,191.100,2,dog
14,y,char,5850.700,964.200,3,y
15,o,char,6092.400,241.700,3,yo
16,u,char,6318.200,225.800,3,you
17,r,char,6763.500,445.300,3,your
18,SPACE,char,6954.400,190.900,3,your
19,n,char,8080.700,1126.300,4,n
20,Backspace,backspace,8754.500,673.800,4,n
21,b,char,9213.800,459.300,4,b
22,e,char,9450.600,236.800,4,be
23,e,char,9596.700,146.100,4,bee
24,t,char,9977.000,380.300,4,beet
25,w,char,10433.900,456.900,4,beetw
26,e,char,10690.600,256.700,4,beetwe
27,e,char,10984.200,293.600,4,beetwee
28,n,char,11282.500,298.300,4,beetween
29,SPACE,char,11482.300,199.800,4,beetween
30,n,char,12799.900,1317.600,5,n
31,e,char,13132.800,332.900,5,ne
32,e,char,13306.700,173.900,5,nee
33,d,char,13510.800,204.100,5,need
34,SPACE,char,13728.600,217.800,5,need
35,r,char,14938.700,1210.100,6,r
36,u,char,15182.800,244.100,6,ru
37,m,char,15460.800,278.000,6,rum
38,n,char,16968.300,1507.500,6,rumn
39,SPACE,char,17188.900,220.600,6,rumn
40,t,char,18432.600,1243.700,7,t
41,r,char,18642.600,210.000,7,tr
42,e,char,18904.900,262.300,7,tre
43,e,char,19091.000,186.100,7,tree
44,SPACE,char,19336.900,245.900,7,tree
45,w,char,20228.900,892.000,8,w
46,i,char,20483.400,254.500,8,wi
47,l,char,20831.700,348.300,8,wil
48,l,char,21032.300,200.600,8,will
49,SPACE,char,21193.000,160.700,8,will
50,t,char,22170.500,977.500,9,t
51,i,char,22405.000,234.500,9,ti
52,m,char,22665.100,260.100,9,tim
53,e,char,23259.100,594.000,9,time
54,SPACE,char,23420.800,161.700,9,time
55,s,char,24470.800,1050.000,10,s
56,t,char,24976.500,505.700,10,st
57,a,char,25109.000,132.500,10,sta
58,r,char,25301.000,192.000,10,star
59,t,char,25619.200,318.200,10,start
60,y,char,25623.900,4.700,10,starty
61,t,char,26075.100,451.200,10,startyt
62,SPACE,char,26436.300,361.200,10,startyt
63,l,char,27612.700,1176.400,11,l
64,a,char,27777.400,164.700,11,la
65,r,char,28221.100,443.700,11,lar
66,g,char,28455.200,234.100,11,larg
67,e,char,28605.100,149.900,11,large
68,SPACE,char,28793.100,188.000,11,large
69,b,char,29709.400,916.300,12,b
70,e,char,29915.300,205.900,12,be
71,SPACE,char,30057.400,142.100,12,be
72,c,char,31013.900,956.500,13,c
73,o,char,31223.200,209.300,13,co
74,m,char,31453.100,229.900,13,com
75,e,char,31739.300,286.200,13,come
76,SPACE,char,31933.300,194.000,13,come
77,s,char,33258.600,1325.300,14,s
78,h,char,34517.300,1258.700,14,sh
79,o,char,34734.900,217.600,14,sho
80,u,char,35005.300,270.400,14,shou
81,l,char,35322.500,317.200,14,shoul
82,d,char,35673.400,350.900,14,should
83,SPACE,char,35919.400,246.000,14,should
84,m,char,37314.700,1395.300,15,m
85,e,char,37516.600,201.900,15,me
86,t,char,37832.100,315.500,15,met
87,a,char,38034.400,202.300,15,meta
88,l,char,38429.600,395.200,15,metal
89,SPACE,char,38647.400,217.800,15,metal
90,u,char,39951.100,1303.700,16,u
91,s,char,40404.500,453.400,16,us
92,e,char,40661.300,256.800,16,use
93,SPACE,char,40813.200,151.900,16,use
94,a,char,41820.900,1007.700,17,a
95,b,char,42259.100,438.200,17,ab
