=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,o,char,0.000,0.000,0,o
1,f,char,153.000,153.000,0,of
2,SPACE,char,299.000,146.000,0,of
3,g,char,580.000,281.000,1,g
4,r,char,956.000,376.000,1,gr
5,t,char,980.000,24.000,1,grt
6,a,char,2209.000,1229.000,1,grta
7,t,char,2403.000,194.000,1,grtat
8,SPACE,char,2606.000,203.000,1,grtat
9,i,char,3115.000,509.000,2,i
10,t,char,3257.000,142.000,2,it
11,SPACE,char,3379.000,122.000,2,it
12,u,char,3753.000,374.000,3,u
13,s,char,3898.000,145.000,3,us
14,e,char,3960.000,62.000,3,use
15,SPACE,char,4163.000,203.000,3,use
16,w,char,4481.000,318.000,4,w
17,e,char,4645.000,164.000,4,we
18,s,char,4859.000,214.000,4,wes
19,t,char,5035.000,176.000,4,west
20,SPACE,char,5143.000,108.000,4,west
21,t,char,5439.000,296.000,5,t
22,Backspace,backspace,6144.000,705.000,5,t
23,w,char,6267.000,123.000,5,w
24,j,char,6794.000,527.000,5,wj
25,e,char,6925.000,131.000,5,wje
26,m,char,7138.000,213.000,5,wjem
27,SPACE,char,7293.000,155.000,5,wjem
28,w,char,8037.000,744.000,6,w
29,h,char,8217.000,180.000,6,wh
30,i,char,8383.000,166.000,6,whi
31,c,char,8543.000,160.000,6,whic
32,h,char,8626.000,83.000,6,which
33,SPACE,char,8774.000,148.000,6,which
34,c,char,9302.000,528.000,7,c
35,r,char,9553.000,251.000,7,cr
36,o,char,9725.000,172.000,7,cro
37,s,char,9887.000,162.000,7,cros
38,s,char,10035.000,148.000,7,cross
39,SPACE,char,10174.000,139.000,7,cross
40,n,char,10479.000,305.000,8,n
41,e,char,10614.000,135.000,8,ne
42,w,char,10747.000,133.000,8,new
43,SPACE,char,10853.000,106.000,8,new
44,w,char,11135.000,282.000,9,w
45,o,char,11229.000,94.000,9,wo
46,r,char,11406.000,177.000,9,wor
47,l,char,11721.000,315.000,9,worl
48,d,char,11995.000,274.000,9,world
49,SPACE,char,12127.000,132.000,9,world
50,a,char,12413.000,286.000,10,a
51,s,char,12753.000,340.000,10,as
52,k,char,13027.000,274.000,10,ask
53,e,char,13155.000,128.000,10,aske
54,d,char,13338.000,183.000,10,asked
55,SPACE,char,13451.000,113.000,10,asked
56,w,char,13645.000,194.000,11,w
57,r,char,13855.000,210.000,11,wr
58,i,char,14177.000,322.000,11,wri
59,t,char,14301.000,124.000,11,writ
60,e,char,14420.000,119.000,11,write
61,SPACE,char,14520.000,100.000,11,write
62,o,char,14825.000,305.000,12,o
63,f,char,14959.000,134.000,12,of
64,SPACE,char,15061.000,102.000,12,of
65,f,char,15307.000,246.000,13,f
66,e,char,15445.000,138.000,13,fe
67,w,char,15579.000,134.000,13,few
68,SPACE,char,15755.000,176.000,13,few
69,w,char,16043.000,288.000,14,w
70,a,char,16279.000,236.000,14,wa
71,t,char,16405.000,126.000,14,wat
72,c,char,16809.000,404.000,14,watc
73,j,char,16963.000,154.000,14,watcj
74,SPACE,char,17329.000,366.000,14,watcj
75,d,char,17923.000,594.000,15,d
76,r,char,18163.000,240.000,15,dr
77,e,char,18265.000,102.000,15,dre
78,a,char,18440.000,175.000,15,drea
79,m,char,18579.000,139.000,15,dream
80,SPACE,char,18727.000,148.000,15,dream
81,l,char,19506.000,779.000,16,l
82,a,char,19645.000,139.000,16,la
83,r,char,19797.000,152.000,16,lar
84,g,char,20083.000,286.000,16,larg
85,e,char,20305.000,222.000,16,large
86,SPACE,char,20413.000,108.000,16,large
87,m,char,20643.000,230.000,17,m
88,o,char,20805.000,162.000,17,mo
89,v,char,21071.000,266.000,17,mov
90,e,char,21279.000,208.000,17,move
91,SPACE,char,21402.000,123.000,17,move
92,a,char,21689.000,287.000,18,a
93,n,char,21849.000,160.000,18,an
94,SPACE,char,22018.000,169.000,18,an
95,t,char,22174.000,156.000,19,t
96,e,char,22393.000,219.000,19,te
97,h,char,22545.000,152.000,19,teh
98,y,char,23917.000,1372.000,19,tehy
99,SPACE,char,24095.000,178.000,19,tehy
100,i,char,24703.000,608.000,20,i
101,t,char,24825.000,122.000,20,it
102,SPACE,char,24927.000,102.000,20,it
103,d,char,25244.000,317.000,21,d
104,o,char,25312.000,68.000,21,do
105,SPACE,char,25410.000,98.000,21,do
106,f,char,25715.000,305.000,22,f
107,i,char,25803.000,88.000,22,fi
108,r,char,26251.000,448.000,22,fir
109,s,char,26439.000,188.000,22,firs
110,t,char,26606.000,167.000,22,first
111,SPACE,char,26709.000,103.000,22,first
112,j,char,27047.000,338.000,23,j
113,u,char,27321.000,274.000,23,ju
114,s,char,27375.000,54.000,23,jus
115,t,char,27558.000,183.000,23,just
116,SPACE,char,27707.000,149.000,23,just
117,w,char,28383.000,676.000,24,w
118,a,char,28571.000,188.000,24,wa
119,l,char,28651.000,80.000,24,wal
120,k,char,29052.000,401.000,24,walk
121,SPACE,char,29258.000,206.000,24,walk
122,j,char,29583.000,325.000,25,j
123,u,char,29828.000,245.000,25,ju
124,s,char,29941.000,113.000,25,jus
125,t,char,30043.000,102.000,25,just
126,SPACE,char,30148.000,105.000,25,just
127,s,char,30483.000,335.000,26,s
128,h,char,30657.000,174.000,26,sh
129,o,char,30831.000,174.000,26,sho
130,u,char,31021.000,190.000,26,shou
131,l,char,31211.000,190.000,26,shoul
132,d,char,31355.000,144.000,26,should
133,SPACE,char,31486.000,131.000,26,should
134,o,char,31986.000,500.000,27,o
135,t,char,32184.000,198.000,27,ot
136,h,char,32320.000,136.000,27,oth
137,e,char,32433.000,113.000,27,othe
138,r,char,32542.000,109.000,27,other
139,SPACE,char,32672.000,130.000,27,other
140,m,char,32886.000,214.000,28,m
141,o,char,33070.000,184.000,28,mo
142,s,char,33168.000,98.000,28,mos
143,t,char,33289.000,121.000,28,most
144,SPACE,char,33395.000,106.000,28,most
145,r,char,33789.000,394.000,29,r
146,u,char,33974.000,185.000,29,ru
147,SPACE,char,34455.000,481.000,29,ru
148,o,char,35036.000,581.000,30,o
149,Backspace,backspace,35621.000,585.000,30,o
150,a,char,35782.000,161.000,30,a
151,b,char,36084.000,302.000,30,ab
152,o,char,36261.000,177.000,30,abo
153,u,char,36422.000,161.000,30,abou
154,t,char,36504.000,82.000,30,about
155,SPACE,char,36692.000,188.000,30,about
156,o,char,37118.000,426.000,31,o
157,w,char,37274.000,156.000,31,ow
158,n,char,37495.000,221.000,31,own
159,SPACE,char,37683.000,188.000,31,own
160,t,char,38743.000,1060.000,32,t
161,h,char,38903.000,160.000,32,th
162,e,char,39066.000,163.000,32,the
163,y,char,39216.000,150.000,32,they
164,SPACE,char,39372.000,156.000,32,they
165,d,char,40245.000,873.000,33,d
166,o,char,40935.000,690.000,33,do
167,x,char,41315.000,380.000,33,dox
168,SPACE,char,41421.000,106.000,33,dox
169,t,char,41768.000,347.000,34,t
170,h,char,41924.000,156.000,34,th
171,o,char,42054.000,130.000,34,tho
172,s,char,42188.000,134.000,34,thos
173,e,char,42323.000,135.000,34,those
174,SPACE,char,42476.000,153.000,34,those
175,g,char,42783.000,307.000,35,g
176,r,char,43079.000,296.000,35,gr
177,o,char,43227.000,148.000,35,gro
178,u,char,43415.000,188.000,35,grou
179,p,char,43746.000,331.000,35,group
180,SPACE,char,43943.000,197.000,35,group
181,s,char,44183.000,240.000,36,s
182,a,char,44435.000,252.000,36,sa
183,y,char,44579.000,144.000,36,say
184,SPACE,char,44731.000,152.000,36,say
185,s,char,45079.000,348.000,37,s
186,o,char,45221.000,142.000,37,so
187,u,char,45395.000,174.000,37,sou
188,n,char,45643.000,248.000,37,soun
189,d,char,45807.000,164.000,37,sound
190,SPACE,char,45947.000,140.000,37,sound
191,w,char,46238.000,291.000,38,w
192,a,char,46423.000,185.000,38,wa
193,n,char,46539.000,116.000,38,wan
194,t,char,46680.000,141.000,38,want
195,SPACE,char,46817.000,137.000,38,want
196,c,char,47336.000,519.000,39,c
197,o,char,47435.000,99.000,39,co
198,u,char,47634.000,199.000,39,cou
199,l,char,47851.000,217.000,39,coul
200,d,char,47994.000,143.000,39,could
201,SPACE,char,48141.000,147.000,39,could
202,m,char,48471.000,330.000,40,m
203,o,char,48701.000,230.000,40,mo
204,u,char,49397.000,696.000,40,mou
205,n,char,49661.000,264.000,40,moun
206,t,char,49848.000,187.000,40,mount
207,a,char,50003.000,155.000,40,mounta
208,i,char,50154.000,151.000,40,mountai
209,n,char,50341.000,187.000,40,mountain
210,SPACE,char,50488.000,147.000,40,mountain
211,c,char,50761.000,273.000,41,c
212,o,char,50813.000,52.000,41,co
213,l,char,51039.000,226.000,41,col
214,o,char,51396.000,357.000,41,colo
