=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,a,char,0.000,0.000,0,a
1,s,char,1460.000,1460.000,0,as
2,k,char,1765.000,305.000,0,ask
3,e,char,2270.000,505.000,0,aske
4,d,char,2758.000,488.000,0,asked
5,SPACE,char,3520.000,762.000,0,asked
6,c,char,4492.000,972.000,1,c
7,i,char,4954.000,462.000,1,ci
8,t,char,5465.000,511.000,1,cit
9,y,char,5766.000,301.000,1,city
10,SPACE,char,6548.000,782.000,1,city
11,r,char,7560.000,1012.000,2,r
12,i,char,7950.000,390.000,2,ri
13,v,char,8675.000,725.000,2,riv
14,e,char,9438.000,763.000,2,rive
15,r,char,9748.000,310.000,2,river
16,SPACE,char,10510.000,762.000,2,river
17,c,char,11222.000,712.000,3,c
18,o,char,11558.000,336.000,3,co
19,l,char,12028.000,470.000,3,col
20,o,char,12378.000,350.000,3,colo
21,u,char,12697.000,319.000,3,colou
22,r,char,13164.000,467.000,3,colour
23,Backspace,backspace,14761.000,1597.000,3,colour
24,Backspace,backspace,15410.000,649.000,3,colou
25,u,char,16782.000,1372.000,3,colou
26,r,char,17382.000,600.000,3,colour
27,SPACE,char,17590.000,208.000,3,colour
28,w,char,18994.000,1404.000,4,w
29,h,char,19368.000,374.000,4,wh
30,i,char,19846.000,478.000,4,whi
31,l,char,20304.000,458.000,4,whil
32,e,char,20885.000,581.000,4,while
33,SPACE,char,21256.000,371.000,4,while
34,w,char,22493.000,1237.000,5,w
35,e,char,22840.000,347.000,5,we
36,l,char,23450.000,610.000,5,wel
37,l,char,23933.000,483.000,5,well
38,SPACE,char,24680.000,747.000,5,well
39,s,char,25222.000,542.000,6,s
40,t,char,25943.000,721.000,6,st
41,o,char,26973.000,1030.000,6,sto
42,n,char,27414.000,441.000,6,ston
43,e,char,27800.000,386.000,6,stone
44,SPACE,char,28159.000,359.000,6,stone
45,p,char,29165.000,1006.000,7,p
46,o,char,29549.000,384.000,7,po
47,i,char,29816.000,267.000,7,poi
48,n,char,30162.000,346.000,7,poin
49,t,char,30644.000,482.000,7,point
50,SPACE,char,30892.000,248.000,7,point
51,t,char,32022.000,1130.000,8,t
52,h,char,32300.000,278.000,8,th
53,e,char,32726.000,426.000,8,the
54,m,char,33054.000,328.000,8,them
55,SPACE,char,33302.000,248.000,8,them
56,g,char,34388.000,1086.000,9,g
57,e,char,34752.000,364.000,9,ge
58,t,char,35182.000,430.000,9,get
59,SPACE,char,36435.000,1253.000,9,get
60,h,char,37475.000,1040.000,10,h
61,o,char,38086.000,611.000,10,ho
62,u,char,38420.000,334.000,10,hou
63,s,char,38982.000,562.000,10,hous
64,e,char,39342.000,360.000,10,house
65,SPACE,char,40135.000,793.000,10,house
66,o,char,40904.000,769.000,11,o
67,n,char,41374.000,470.000,11,on
68,SPACE,char,41658.000,284.000,11,on
69,t,char,42944.000,1286.000,12,t
70,o,char,43294.000,350.000,12,to
71,g,char,43842.000,548.000,12,tog
72,r,char,44344.000,502.000,12,togr
73,Backspace,backspace,46242.000,1898.000,12,togr
74,e,char,46593.000,351.000,12,toge
75,t,char,47000.000,407.000,12,toget
76,h,char,47270.000,270.000,12,togeth
77,e,char,47699.000,429.000,12,togethe
78,r,char,47910.000,211.000,12,together
79,SPACE,char,48885.000,975.000,12,together
80,l,char,49397.000,512.000,13,l
81,a,char,49706.000,309.000,13,la
82,n,char,50284.000,578.000,13,lan
83,d,char,50694.000,410.000,13,land
84,SPACE,char,51422.000,728.000,13,land
85,e,char,52902.000,1480.000,14,e
86,e,char,53015.000,113.000,14,ee
87,Backspace,backspace,54432.000,1417.000,14,ee
88,v,char,55000.000,568.000,14,ev
89,e,char,55481.000,481.000,14,eve
90,r,char,55865.000,384.000,14,ever
